player,elo_global,elo_Hard,elo_Clay,elo_Grass
Lleyton Hewitt,1748.6950332602275,1772.418600194614,1600.9159259286553,1682.8851682450077
Jan Hernych,1560.1634195271986,1616.4154667376724,1530.0395789490278,1568.93134598256
Philipp Kohlschreiber,1708.044656131671,1788.4040408989003,1669.412334250575,1593.5660023602522
Chris Guccione,1507.062766626997,1525.85712135789,1476.6329202707961,1513.922140971384
Andy Murray,1807.6249471653591,1831.764745886355,1903.827644220408,1771.1281988682122
Paolo Lorenzi,1466.454119399293,1587.9479379284805,1524.735485464092,1358.6814611254918
Tomas Berdych,1886.5704841609045,1913.3138507472243,1882.141070166099,1744.3630053115053
Agustin Calleri,1522.6074065705598,1520.7491983203422,1560.8861594013567,1460.099951103114
Mario Ancic,1774.3838392631128,1759.4034226222925,1650.5230273167258,1668.979764068638
Arnaud Clement,1647.2611606337646,1666.6071941136931,1512.7990863191485,1549.8412289232435
Xavier Malisse,1702.2461183241614,1644.7980991481813,1565.7877290709466,1712.8718802749622
Peter Luczak,1468.7721108775052,1513.8350172615437,1552.9052822862106,1496.6976012755824
Andreas Seppi,1647.6693314735076,1669.7987126595128,1567.6996144787822,1618.0415080438208
Boris Pashanski,1492.6855803079159,1421.9645127854808,1548.1996396817644,1493.8456549951763
James Blake,1748.9506169437982,1761.770163901488,1609.352670125755,1533.1202013590841
Alberto Martin,1591.7672910052393,1510.3341155960784,1600.8853322613932,1482.681023971911
Jarkko Nieminen,1717.9278179342477,1714.0558978408762,1698.8123917354753,1543.7951420308063
Paul Henri Mathieu,1629.1600545756617,1615.2035053430657,1711.1793986777843,1558.135160999268
Florian Mayer,1607.8499525710163,1640.5033048848786,1620.9001700011893,1633.9515291948262
Juan Monaco,1812.8148708506571,1767.6529262306576,1816.9923620355362,1522.5685101603121
Florent Serra,1564.0246270804935,1639.7806467557696,1515.629646504623,1518.0958047379972
Michael Llodra,1702.6624639638742,1689.6740365525807,1674.036519953552,1598.5574516135955
Tommy Robredo,1470.8858690236998,1554.835587587882,1502.4621113723001,1511.178539402628
Jurgen Melzer,1629.195830368859,1752.9889485975702,1598.2930577425934,1557.8802380446234
Ivo Karlovic,1685.590371795358,1709.6837009464964,1613.0968140758616,1571.7612234624828
Juan Ignacio Chela,1682.1922579930583,1619.094463534017,1734.583885023817,1437.3260638423978
Kenneth Carlsen,1398.6118959418336,1443.4069981290038,1448.0433013927734,1482.4758005328724
Gregory Carraz,1437.272474005953,1463.179619113624,1474.9665632616816,1505.8108934465743
Mark Philippoussis,1450.3223357571876,1505.9502279647684,1496.6581960866793,1512.0905840700177
Vincent Spadea,1396.1565788764403,1456.6551581754372,1480.6763308578663,1487.588183398692
Dominik Hrbaty,1503.912512065628,1520.212195707621,1513.0097861836593,1487.031981796106
Rameez Junaid,1308.0322145199216,1469.2818290161706,1488.0039323737308,1504.0393731112545
Ivan Ljubicic,1814.4347191102393,1746.0784496846538,1772.3934358160727,1563.174018539679
Guillermo Garcia Lopez,1497.7843943265939,1569.4333699809608,1546.551800349758,1492.38263902847
Jiri Vanek,1444.8905123112268,1467.9347640431038,1472.804399309383,1454.344232412868
Vishal Uppal,1451.1690319873148,1461.7053571046804,,
Rohan Bopanna,1422.1728088401537,1496.0098439975463,1493.4799514213576,1531.0825102452059
Cyril Saulnier,1459.2529469458668,1511.9171415870992,1503.610245505639,1494.0226457848648
Gilles Muller,1734.6773114522118,1735.5318879004724,1649.573814907175,1728.082534719667
Razvan Sabau,1276.180787735342,1496.051262358027,1478.2171656663934,1497.1180191638941
Paradorn Srichaphan,1471.5704640346949,1484.4983558436404,1376.251497491135,1491.4041766249159
Ramon Delgado,1573.9483755615524,1630.04833874246,1581.5575124040088,1502.8787592814856
Marc Gicquel,1644.4099595395492,1676.7446975740916,1609.0630751372983,1575.4030322325425
Hyung Taik Lee,1520.9965381516347,1562.8040789645243,1515.2460241449899,1495.2163571712977
Kristof Vliegen,1581.9428312200162,1584.1298222062692,1585.905602396558,1518.7417331585862
Jimmy Wang,1507.2155241243875,1547.4025150362565,1445.9400800271967,1574.6216301757418
Rainer Schuettler,1639.3189607348265,1636.5423166035341,1426.4873534269045,1620.236948340604
Fernando Vicente,1431.3473854675713,1469.021639932154,1439.1372068324204,1514.7749843530162
Bjorn Phau,1614.7082479155617,1705.3900568129732,1549.9133784215626,1433.687276574892
Bobby Reynolds,1595.1014491849905,1617.1734851110784,1531.2747990838554,1584.2675208383616
Michael Berrer,1643.106518365383,1713.5998476876994,1544.6354091205142,1520.2352758392487
Lukas Dlouhy,1302.7928362550924,1495.4611284236064,1463.1330059052175,1490.5025520747001
Justin Gimelstob,1435.5566918249108,1431.4601633596164,1457.0694120747733,1509.2636328852384
Alexander Waske,1474.9537330757582,1513.1199124459029,1479.2995249764315,1471.9944067886142
Carlos Moya,1633.5343121007775,1603.4649705274535,1630.7571391042814,1482.734107920727
Dick Norman,1533.7896702281917,1533.3702297242503,1454.0618751301172,1539.9732182460984
Tomas Behrend,1433.174509936809,1446.1899270725364,1494.2868085183343,1489.5
Marcos Daniel,1608.8080891197287,1401.053082551926,1694.7841201622962,1423.3863711781755
Thierry Ascione,1538.28601992533,1557.6974994596578,1591.4286013650474,1467.9224111592914
Simon Greul,1572.4500367388084,1488.1800980867197,1603.8544576894196,1490.561741944282
Prakash Amritraj,1542.8125047913813,1600.7321954666127,1464.1586324794762,1522.3209874222637
Ricardo Mello,1597.1914658506041,1624.5182010252092,1634.655611313563,1492.7786395711194
Radek Stepanek,1945.481840945594,1892.070791565583,1786.6752178576787,1633.8577846103724
Ivan Navarro,1520.2340792915431,1462.1106663937146,1572.1727394933475,1498.8969440819121
Roger Federer,2169.69223684719,2207.8546019735436,2044.9790750825534,1972.5016466704415
