player,elo_global,elo_Hard,elo_Clay,elo_Grass
Gael Monfils,2002.4757184349817,1937.798013532604,1719.1671357648963,1637.6073960758104
Feliciano Lopez,1651.4263701116904,1641.2106559666845,1558.3935343296407,1582.4805620170057
Malek Jaziri,1417.4481286940957,1437.648434254546,1478.8049254870373,1432.1043559398738
Andy Murray,1834.3985705169,1810.682129126707,1886.142404413404,1759.9230378065267
Richard Gasquet,1742.8751530507725,1686.6480843208376,1664.7369349435403,1598.348115593198
Stan Wawrinka,1827.8455882671176,1786.3248744191965,1752.8894915002645,1618.2134074634068
Fernando Verdasco,1583.0278421334865,1618.910735105018,1564.0207697885833,1536.6450986234593
Denis Istomin,1502.5655946597085,1469.2211156327594,1560.2919044335158,1488.8003990016475
Novak Djokovic,2247.0786878683507,2228.357635163936,2091.4781446573083,2014.622057357712
Fabio Fognini,1822.976511204102,1651.0212999880755,1800.774591684637,1610.231417304264
Artem Sitak,1460.7417236564838,1441.6531325052215,1404.5699913538797,1478.5228529763656
Igor Zelenay,1464.029794119341,1478.4964438651164,1479.6728838016968,1486.22499693837
Donald Young,1490.1442053444164,1490.4796776543772,1485.474425329586,1526.7458919346916
Jose Rubin Statham,1402.5431952203562,1425.8362730113502,1468.3402557586612,1475.0473963985007
Marin Cilic,1873.7237323403344,1792.400106699116,1856.5503716476985,1804.543385040174
Aqeel Khan,1565.4276972213677,1504.874872351833,1473.0506022188156,1519.440155608976
Aisam Ul Haq Qureshi,1527.2910084118346,1514.7150215057295,1531.2008919873756,1523.4607181636384
Pablo Cuevas,1660.03265552966,1624.231611324247,1635.7357639412212,1483.0554902535075
Rafael Nadal,2040.3182140056776,1990.3264964649568,2107.6692808487123,1850.1692868625023
Jeremy Chardy,1834.3949735457652,1870.6494618964848,1696.946277569278,1551.8119723036075
Toshihide Matsui,1352.947353478827,1351.6656581877182,1455.4049420887957,1469.191476673313
Benjamin Balleret,1481.0761622806851,1429.7412758578753,1465.3236059708804,1478.5332914570477
Ernests Gulbis,1635.0636192000554,1591.3259677187286,1593.9727578935926,1556.2100208337597
Jaroslav Pospisil,1469.514252201372,1433.5931647128025,1489.487087351592,1434.420256908729
Pablo Andujar,1593.1777798763835,1599.398959722354,1597.888863801236,1405.4754979239272
Gastao Elias,1605.38528261565,1627.4323897717236,1574.1657226226623,1425.9999167184906
Adrian Mannarino,1803.907411013635,1782.717280844269,1482.1836087440793,1610.9477299260602
Andrey Golubev,1427.8275282884545,1452.3773742665362,1487.8666367775927,1398.4112972765624
Robin Haase,1612.75163029246,1614.8514048954678,1568.7965095530774,1531.9318100681824
Martin Klizan,1580.5176739795122,1573.787169060259,1609.82864343685,1401.8817979818264
Adrian Menendez Maceiras,1544.974449131855,1551.816400905395,1493.3198713161232,1472.9525061783447
Komlavi Loglo,1448.640304155855,1460.302634060885,1482.5472236918215,
Matwe Middelkoop,1587.5934639141929,1561.3633067746282,1502.397802570492,1470.5447126880183
Igor Sijsling,1510.2888536550574,1476.901759813432,1557.4545607130842,1570.7065927293395
Andrea Arnaboldi,1538.2359176638604,1519.4604915562109,1524.5634355782515,1520.2002157600805
Dimitar Grabuloski,1431.928706859498,1477.4864854103669,1445.109201636573,
Peter Polansky,1507.451348299698,1510.789486497971,1440.7003771195134,1434.772792009364
Thomaz Bellucci,1484.2775427255558,1535.3047193995478,1485.413615193582,1457.0806783596447
Kevin Anderson,1764.1388191542696,1690.0623781091945,1813.2791096277897,1737.8867369061356
