tourney_id,tourney_name,tourney_date,tourney_level,surface,draw_size,match_num,best_of,round,winner_id,winner_name,winner_hand,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ioc,loser_age,score,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year
2006-339,Adelaide,2006-01-02,A,Hard,32,1,3,R32,103720,Lleyton Hewitt,R,AUS,24.8,103401,Jan Hernych,R,CZE,26.4,4-6 6-2 6-4,116.0,5.0,4.0,89.0,51.0,36.0,15.0,14.0,6.0,11.0,1.0,0.0,103.0,69.0,40.0,12.0,14.0,9.0,16.0,4.0,2490.0,74.0,515.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,2,3,R32,104259,Philipp Kohlschreiber,R,GER,22.2,104589,Chris Guccione,L,AUS,20.4,6-4 6-3,76.0,4.0,1.0,49.0,28.0,22.0,14.0,9.0,2.0,3.0,14.0,5.0,84.0,49.0,30.0,14.0,10.0,12.0,16.0,86.0,470.0,156.0,265.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,3,3,R32,104918,Andy Murray,R,GBR,18.6,103893,Paolo Lorenzi,R,ITA,24.0,3-6 6-0 6-2,88.0,7.0,6.0,70.0,44.0,29.0,13.0,11.0,5.0,8.0,0.0,1.0,75.0,40.0,17.0,17.0,12.0,5.0,12.0,64.0,571.0,252.0,138.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,4,3,R32,104607,Tomas Berdych,R,CZE,20.2,102860,Agustin Calleri,R,ARG,29.3,6-4 6-7(5) 6-4,138.0,5.0,5.0,103.0,53.0,43.0,29.0,16.0,4.0,5.0,13.0,9.0,110.0,58.0,43.0,27.0,16.0,5.0,8.0,24.0,1200.0,51.0,692.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,5,3,R32,104339,Mario Ancic,R,CRO,21.7,103096,Arnaud Clement,R,FRA,28.0,6-0 6-2,59.0,7.0,0.0,36.0,23.0,21.0,8.0,7.0,2.0,2.0,1.0,1.0,45.0,23.0,15.0,4.0,7.0,4.0,9.0,21.0,1360.0,69.0,558.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,6,3,R32,103598,Xavier Malisse,R,BEL,25.4,103429,Peter Luczak,R,AUS,26.3,7-6(11) 6-3,105.0,17.0,4.0,95.0,54.0,44.0,17.0,11.0,14.0,16.0,5.0,2.0,73.0,40.0,29.0,15.0,10.0,6.0,9.0,47.0,731.0,146.0,286.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,7,3,R32,104312,Andreas Seppi,R,ITA,21.8,104081,Boris Pashanski,R,SRB,23.1,6-4 6-4,70.0,8.0,2.0,57.0,36.0,29.0,11.0,10.0,2.0,3.0,3.0,4.0,58.0,33.0,24.0,11.0,10.0,5.0,8.0,68.0,562.0,82.0,498.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,8,3,R32,103484,James Blake,R,USA,26.0,103252,Alberto Martin,R,ESP,27.3,6-3 6-3,65.0,4.0,0.0,51.0,25.0,21.0,13.0,9.0,3.0,5.0,3.0,6.0,60.0,33.0,21.0,8.0,9.0,6.0,11.0,23.0,1230.0,50.0,711.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,9,3,R32,103813,Jarkko Nieminen,L,FIN,24.4,103908,Paul Henri Mathieu,R,FRA,23.9,6-2 7-6(5),92.0,3.0,2.0,78.0,52.0,36.0,14.0,10.0,5.0,6.0,4.0,5.0,66.0,35.0,27.0,13.0,10.0,5.0,8.0,28.0,1045.0,46.0,738.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,10,3,R32,104252,Florian Mayer,R,GER,22.2,104338,Juan Monaco,R,ARG,21.7,6-2 6-4,73.0,2.0,3.0,45.0,25.0,22.0,11.0,9.0,1.0,2.0,1.0,0.0,67.0,42.0,24.0,11.0,9.0,5.0,9.0,72.0,519.0,85.0,477.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,11,3,R32,103722,Florent Serra,R,FRA,24.8,103566,Michael Llodra,L,FRA,25.6,3-6 3-1 RET,70.0,3.0,2.0,40.0,31.0,19.0,5.0,6.0,2.0,4.0,1.0,1.0,48.0,30.0,16.0,11.0,7.0,3.0,5.0,49.0,712.0,137.0,303.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,12,3,R32,103990,Tommy Robredo,R,ESP,23.6,103781,Jurgen Melzer,L,AUT,24.6,7-5 6-4,83.0,2.0,3.0,59.0,27.0,23.0,23.0,11.0,0.0,0.0,1.0,4.0,79.0,41.0,32.0,17.0,11.0,4.0,6.0,19.0,1490.0,52.0,690.0,2006
2006-339,Adelaide,2006-01-02,A,Hard,32,13,3,R32,103333,Ivo Karlovic,R,CRO,26.8,103428,Juan Ignacio Chela,R,ARG,26.3,6-3 3-6 6-1,104.0,13.0,2.0,79.0,46.0,37.0,16.0,13.0,1.0,2.0,3.0,3.0,80.0,48.0,33.0,16.0,12.0,5.0,8.0,70.0,550.0,39.0,815.0,2006
