year,surface,n_matches
2006,Carpet,494
2006,Clay,3758
2006,Grass,527
2006,Hard,3927
2007,Carpet,486
2007,Clay,4331
2007,Grass,641
2007,Hard,5068
2008,Carpet,358
2008,Clay,4469
2008,Grass,597
2008,Hard,4687
2009,Carpet,354
2009,Clay,4184
2009,Grass,602
2009,Hard,4754
2010,Carpet,233
2010,Clay,4085
2010,Grass,579
2010,Hard,4730
2011,Carpet,163
2011,Clay,3823
2011,Grass,577
2011,Hard,4823
2012,Carpet,140
2012,Clay,3915
2012,Grass,667
2012,Hard,4944
2013,Carpet,93
2013,Clay,3812
2013,Grass,598
2013,Hard,4905
2014,Carpet,100
2014,Clay,3776
2014,Grass,587
2014,Hard,4631
2015,Carpet,93
2015,Clay,3882
2015,Grass,669
2015,Hard,5197
2016,Carpet,11
2016,Clay,5144
2016,Grass,663
2016,Hard,6972
2017,Carpet,8
2017,Clay,4488
2017,Grass,700
2017,Hard,6856
2018,Clay,4744
2018,Grass,697
2018,Hard,7644
2019,Clay,4377
2019,Grass,670
2019,Hard,6461
2020,Clay,1702
2020,Grass,2
2020,Hard,3046
2021,Clay,4852
2021,Grass,579
2021,Hard,4799
2022,Carpet,49
2022,Clay,5952
2022,Grass,674
2022,Hard,6258
2023,Carpet,49
2023,Clay,5912
2023,Grass,671
2023,Hard,6964
2023,,53
2024,Clay,6314
2024,Grass,670
2024,Hard,7282
